INFO 2020-07-20 21:18:01,387 basehttp 154 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2020-07-20 21:18:01,390 basehttp 154 "GET /static/rest_framework/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
INFO 2020-07-20 21:18:01,403 basehttp 154 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2020-07-20 21:18:01,403 basehttp 154 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1131
INFO 2020-07-20 21:18:01,404 basehttp 154 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2020-07-20 21:18:01,413 basehttp 154 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2020-07-20 21:18:01,421 basehttp 154 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2020-07-20 21:18:01,463 basehttp 154 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2020-07-20 21:19:12,517 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:19:15,190 basehttp 154 "GET /xadmin/home/banner/ HTTP/1.1" 200 23217
INFO 2020-07-20 21:19:15,247 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
ERROR 2020-07-20 21:19:28,413 excepyions 6 views:BannerView 错误是方法 “GET” 不被允许。
INFO 2020-07-20 21:19:28,425 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 4063
ERROR 2020-07-20 21:19:30,433 excepyions 6 views:BannerView 错误是方法 “GET” 不被允许。
INFO 2020-07-20 21:19:30,444 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 4063
INFO 2020-07-20 21:23:49,003 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-20 21:23:51,352 log 228 Not Found: /
WARNING 2020-07-20 21:23:51,353 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-20 21:24:00,739 log 228 Not Found: /home
WARNING 2020-07-20 21:24:00,740 basehttp 154 "GET /home HTTP/1.1" 404 2183
ERROR 2020-07-20 21:24:04,441 excepyions 6 views:BannerView 错误是方法 “GET” 不被允许。
INFO 2020-07-20 21:24:04,481 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 4063
INFO 2020-07-20 21:28:22,964 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:28:24,532 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:30:16,913 autoreload 584 Watching for file changes with StatReloader
ERROR 2020-07-20 21:30:18,082 excepyions 6 views:BannerView 错误是Cannot use ModelSerializer with Abstract Models.
INFO 2020-07-20 21:30:18,118 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 5342
INFO 2020-07-20 21:31:05,585 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:31:07,185 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:32:49,398 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:32:51,005 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:32:56,141 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:32:57,682 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:33:06,808 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:33:08,338 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:33:20,199 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:33:21,727 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:35:26,174 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:36:19,008 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:36:31,335 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:37:08,883 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\urls.py changed, reloading.
INFO 2020-07-20 21:37:10,477 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:37:15,698 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\urls.py changed, reloading.
INFO 2020-07-20 21:37:17,223 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:37:22,393 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\urls.py changed, reloading.
